record_id,service,agency,agency_code,category,requirements,fees_summary,steps_summary,processing_time,source_url,last_verified
SVC-001,Passport Application (Ordinary e-Passport),Civil Registry Department,CIVREG,civil_registration,Original National Identity Card (Metal/Plastic/e-ID); Original Birth Certificate; Marriage Certificate (if applicable for female applicants changing surname); Proof of payment receipt,Ordinary Processing Fee: $100; Application Form Token: $20,"Book appointment online or report to Civil Registry Passport Office | Purchase application form and pay prescribed fee at cash counter | Document verification against National Population Register | Biometric capture (digital photo, fingerprints, signature) | Collect e-passport upon presentation of receipt and ID",7-14 working days,https://www.civilregistry.gov.zw/,2026-07-14
SVC-002,Emergency 24-Hour e-Passport Application,Civil Registry Department,CIVREG,civil_registration,"Original National Identity Card; Original Birth Certificate; Proof of emergency requirement (medical referral, travel ticket, or urgent call letter); Proof of payment receipt",Emergency Processing Fee: $200; Application Form Token: $20,Present at Central Passport Office (Makombe Complex) | Request emergency processing approval at Supervisor Counter | Pay $200 emergency fee at official bank counter | Priority biometric capturing | Collect passport next working day,24-48 hours,https://www.civilregistry.gov.zw/,2026-07-14
SVC-003,Birth Certificate Registration (Newborn),Civil Registry Department,CIVREG,civil_registration,Hospital or Clinic Birth Confirmation Slip (Yellow Record); Original National Identity Cards of both parents; Parents' Marriage Certificate (if married); Witness with ID (if home birth),Newborn Initial Registration Fee: $0; Late Registration Search Fee: $2,Obtain birth confirmation record from hospital where child was born | Both parents visit local Civil Registry sub-office with IDs | Verification of parents' details and marriage status | Issuance of initial long-form Birth Certificate,Same day (1-2 hours),https://www.civilregistry.gov.zw/,2026-07-14
SVC-004,National Identity Card (ID) Replacement & Issuance,Civil Registry Department,CIVREG,civil_registration,Original Birth Certificate; Proof of residence (utility bill or letter from headman/chief); Police loss report (if replacing lost ID),First Time National ID Fee: $0; Lost ID Replacement Fee: $2,Report loss to nearest Zimbabwe Republic Police (ZRP) station for RRB receipt (if lost) | Visit nearest District Civil Registry sub-office | Verification of birth certificate details against database | Photo capture and thumbprint verification | Receive temporary paper ID / printed plastic ID card,Same day (temporary receipt) / 14 days (plastic ID),https://www.civilregistry.gov.zw/,2026-07-14
SVC-005,Private Business Corporation (PBC) Registration,Deeds and Companies Office,DCIP,business_registration,"Proposed PBC Name (up to 5 choices); Approved Name Availability Form (CR1); Member Details (1 to 20 members: full names, IDs, addresses); Accounting Officer Consent Letter & Practice Number; Physical Business Office Address",Name Search & Reservation Fee (CR1): $5; PBC Incorporation Statutory Fee: $15,Apply for Company Name Search online via CORES portal (cores.dcip.gov.zw) | Receive Name Reservation approval confirmation | Draft Incorporation Statement (Form PBC 2) detailing member shares and accounting officer | Upload signed PBC 2 form and national ID copies of members | Pay statutory fee of $20 total and receive PBC Certificate of Incorporation,3-5 working days,https://cores.dcip.gov.zw/,2026-07-14
SVC-006,Private Limited Company (Pvt Ltd) Incorporation,Deeds and Companies Office,DCIP,business_registration,Approved Name Availability Search (CR1); Memorandum and Articles of Association; Notice of Situation of Registered Office (Form CR5); Particulars of Directors and Secretaries (Form CR6); Copies of National IDs of minimum 2 Directors,Name Search Fee: $5; Company Incorporation Fee: $80,Submit name search application via CORES portal | Draft Memorandum and Articles of Association | Prepare Form CR5 (Registered Address) and Form CR6 (Directors Details) | Upload signed forms and director ID copies to online portal | Pay statutory incorporation fee ($85 total) | Receive digital Certificate of Incorporation and certified CR5/CR6 forms,5-7 working days,https://cores.dcip.gov.zw/,2026-07-14
SVC-007,Trademark Registration,Deeds and Companies Office,DCIP,intellectual_property,"Clear representation/logo of the Trademark; Applicant Details (Individual or Corporate); Specification of Goods and Services under Nice International Classification; Form TM 1 Application Form; Power of Attorney (Form TM 50, if filed by patent agent)",Trademark Official Application Fee: $100; Publication and Registration Fee: $100,Conduct preliminary trademark search at Intellectual Property Registry | File Form TM 1 with trademark representation and classification | Formal examination and substantive search by IP examiner | Acceptance and advertisement in the Patent and Trademark Journal | Await 2-month opposition period | Issuance of official Certificate of Registration,6-12 months,https://www.ipzimbabwe.org.zw/,2026-07-14
SVC-008,Individual Taxpayer Identification Number (TIN) Registration,Zimbabwe Revenue Authority,ZIMRA,tax,"Copy of National Identity Card or Valid Passport; Proof of Residence (Utility bill or bank statement less than 3 months old); Proof of Income/Employment (Paystub, contract, or affidavit)",Taxpayer TIN Registration Fee: $0,"Visit ZIMRA TaRMS Self-Service Portal (mytaxselfservice.zimra.co.zw) | Click 'Sign Up' and register an SSP user account using mobile number and email | Select 'Register as an Individual' | Fill in personal identification, address, and bank account details | Upload scanned copy of National ID and proof of residence | Submit application; system automatically generates unique Taxpayer Identification Number (TIN)",Immediate / 24 hours online,https://mytaxselfservice.zimra.co.zw/,2026-07-14
SVC-009,Business Taxpayer Onboarding (BP / TaRMS Single Account),Zimbabwe Revenue Authority,ZIMRA,tax,Certificate of Incorporation / PBC Certificate; Form CR6 (Directors details) & Form CR5 (Business address); Memorandum & Articles of Association; Certified ID copies of all Directors; Stamped Company Bank Account Statement; Signed Public Officer Appointment Letter,Business Taxpayer Registration Fee: $0,Access TaRMS portal and register Organization Account profile | Complete Business Entity details and industry activity codes | Attach company incorporation documents and bank account statement | Upload designated Public Officer letter and National ID | ZIMRA verification officer conducts backend audit | Receive Business TIN and access to ZIMRA Single Account,1-3 working days,https://mytaxselfservice.zimra.co.zw/,2026-07-14
SVC-010,Value Added Tax (VAT) Registration,Zimbabwe Revenue Authority,ZIMRA,tax,"Active ZIMRA Business TIN; Proof of annual taxable turnover exceeding threshold ($25,000 USD); Historical sales invoices / client contracts; Certified bank statement; Consent for ZIMRA physical site inspection",VAT Registration Application Fee: $0,"Log into TaRMS portal under Taxpayer profile | Submit application for VAT Category Registration | Upload financial statements / invoices demonstrating $25,000 turnover threshold | Schedule physical business premises inspection with ZIMRA inspector | Inspector verifies office location and fiscal device integration readiness | VAT registration approval and issuance of VAT number",5-10 working days,https://www.zimra.co.zw/,2026-07-14
SVC-011,Tax Clearance Certificate (ITF263) Application,Zimbabwe Revenue Authority,ZIMRA,tax,"Fully up-to-date Tax Returns filed (Income Tax, PAYE, QPDs); Compliant Fiscalization (Interfaced Fiscal Electronic Register devices); Zero outstanding tax debt or approved ZIMRA payment plan",ITF263 Tax Clearance Certificate Fee: $0,"Log into ZIMRA TaRMS Self-Service Portal | Navigate to 'Services' -> 'Tax Clearance Certificate (ITF263)' | System automatically executes real-time compliance audit on returns and fiscalization | If compliant, download and print the official ITF263 Certificate with verifiable QR Code | If non-compliant, system generates compliance block checklist for remediation",Instantaneous online download,https://mytaxselfservice.zimra.co.zw/,2026-07-14
SVC-012,PRAZ Supplier and Bidder Annual Registration,Public Procurement Regulatory Authority of Zimbabwe,PRAZ,procurement,Certificate of Incorporation / PBC Certificate; Valid ZIMRA Tax Clearance Certificate (ITF263); Company Directors (Form CR6) / Members Details; Company Profile & Physical Office Address; Selected Procurement Category Codes,Local Supplier Annual Registration Fee (per category): $120; Foreign Supplier Annual Registration Fee: $850,Access PRAZ Government Portal (portal.praz.org.zw) | Register account and create Supplier Company Profile | Select specific procurement category codes matching business capacity | Upload valid Tax Clearance Certificate (ITF263) and incorporation documents | Pay prescribed category fee ($120 per category) online or via bank transfer | Receive downloadable PRAZ Supplier Registration Certificate,1-2 working days,https://portal.praz.org.zw/,2026-07-14
SVC-013,Commercial Postal and Courier Operating License,Postal and Telecommunications Regulatory Authority of Zimbabwe,POTRAZ,postal_licensing,Registered Company Incorporation Documents; Detailed 5-Year Business Plan & Network Operations Topology; Security Clearance Certificates for Board Directors; Proof of Financial Standing (Audited accounts / Bank Guarantee); Logistics Vehicle Fleet Inventory & Facility Premises Details,Non-Refundable Application Fee: $500; Initial License Fee (Commercial Courier): $2500,"Obtain License Application Form from POTRAZ Headquarters or website (potraz.gov.zw) | Pay non-refundable application processing fee ($500) | Submit completed application along with detailed business plan and security clearances | POTRAZ Technical & Licensing Committee performs evaluation and physical inspection | POTRAZ Board review and approval notification | Pay initial licensing fee ($2,500) and receive Commercial Courier Operating License",30-60 calendar days,https://www.potraz.gov.zw/,2026-07-14
SVC-014,Value Added Service (VAS) and ISP Class License,Postal and Telecommunications Regulatory Authority of Zimbabwe,POTRAZ,postal_licensing,Company Incorporation & Director IDs; Detailed Telecommunications Network Architecture; Quality of Service (QoS) Guarantees & SLA; Data Protection Officer Declaration (Cyber Security Act compliance); Application Processing Fee Payment,Class License Application Fee: $1000; Initial ISP/VAS Operating License Fee: $10000,"Submit Class License Application Form to POTRAZ Secretariat | Pay non-refundable application fee ($1,000) | Technical evaluation by POTRAZ Engineering and Legal teams | Publication of application notice in Government Gazette for public review | Board approval and license offer issuance | Payment of Class License Fee ($10,000) and issuance of Operating License",45-90 calendar days,https://www.potraz.gov.zw/,2026-07-14
SVC-015,Public Supplier Category Upgrade & Modification,Public Procurement Regulatory Authority of Zimbabwe,PRAZ,procurement,Active PRAZ Supplier Registration Account; Valid ZIMRA Tax Clearance Certificate (ITF263); Additional Category Selection Form; Proof of Payment for New Category,Additional Procurement Category Fee: $120,Log into existing PRAZ Supplier Portal account | Select 'Modify Categories' or 'Add Category' | Choose new procurement category code matching updated business profile | Confirm tax clearance validity | Pay additional category fee ($120) | Updated certificate immediately available for download,Same day (1-2 hours),https://portal.praz.org.zw/,2026-07-14
SVC-016,Employer Social Security Registration,National Social Security Authority,NSSA,social_security,Certificate of Incorporation / PBC Certificate; Form CR6 (Directors) & Form CR5 (Business Address); Certified copies of Director IDs; Employee Payroll List with National IDs; Company Bank Details; Completed Form P2 (Employer Registration),Employer NSSA Registration Statutory Fee: $0,Access NSSA Self-Service Portal (selfservice.nssa.org.zw) or visit NSSA Regional Office | Complete Form P2 (Employer Registration) | Attach company incorporation documents and initial employee payroll list | NSSA inspector verifies details and issues NSSA Employer Social Security Number (SSR) | Access NSSA portal to upload monthly Form P4 returns,2-3 working days,https://www.nssa.org.zw/,2026-07-31
SVC-017,Employee Pension & Invalidity Grant Registration,National Social Security Authority,NSSA,social_security,Employee Original National ID Copy; Employee Birth Certificate; Completed NSSA Employee Registration Form P3; Active Employer NSSA Number (SSR); Employee Banking Account Details,Employee Registration Fee: $0,Employer submits Form P3 for new employee within 14 days of employment | Attach employee National ID copy and banking details | NSSA system assigns unique individual Social Security Number (SSN) | Monthly statutory pension contribution (4.5% employee + 4.5% employer) remitted via portal,Immediate upon employer submission,https://www.nssa.org.zw/,2026-07-31
SVC-018,Voluntary Informal Sector Pension Scheme (VIPS),National Social Security Authority,NSSA,social_security,Applicant National ID Card; Proof of Informal Business activity (Vendor permit or affidavit); 1 Passport-sized photo; Nominated Beneficiary National ID Details,VIPS Scheme Initial Joining Fee: $0,Informal trader / self-employed citizen visits NSSA branch or mobile kiosk | Fill in Voluntary Informal Sector Pension (VIPS) enrolment form | Select preferred monthly contribution tier | Receive NSSA VIPS Membership Card and USSD / EcoCash payment code | Make monthly contributions to secure pension retirement benefit,Same day (30 minutes),https://www.nssa.org.zw/,2026-07-31
SVC-019,Vehicle Licence Disc Renewal,Zimbabwe National Roads Authority,ZINARA,transport_licensing,Vehicle Registration Book (Logbook); Valid Third Party Vehicle Insurance Certificate; Active ZBC Radio Licence Token; Current Vehicle Licence Registration Number,ZINARA Road Levy (Light Passenger Vehicle): $20; ZBC Radio Licence Fee: $23,"Ensure valid third-party motor insurance is active | Visit ZINARA licensing desk, ZimPost office, or access online banking app | Provide vehicle registration mark and insurance cover note details | Pay prescribed road levy ($20 per term) plus ZBC radio token | Print or collect valid self-adhesive ZINARA Vehicle Licence Disc",Immediate counter service / instant online print,https://www.zinara.co.zw/,2026-07-31
SVC-020,Provisional Driver's Licence Application,Vehicle Inspection Department,VID,transport_licensing,"Original National Identity Card or Valid Passport; 2 Passport-sized photographs (white background); Passed Eye Test Verification; Age eligibility: 16 years for Class 4 (light motor), 18 years for Class 2 (heavy truck)",VID Provisional Written Examination Fee: $20,Report to VID Depot (e.g. VID Eastlea Harare or VID Bulawayo) | Present original National ID and pay $20 exam fee at cash desk | Undergo vision acuity eye test with VID officer | Enter examination hall for 25-question multiple choice test on Highway Code rules | Score minimum 22 out of 25 (88%) to pass | Receive laminated Provisional Driver's Licence valid for 12 months,Same day (2-3 hours),https://www.transcom.gov.zw/,2026-07-31
SVC-021,Commercial Vehicle Certificate of Fitness (COF),Vehicle Inspection Department,VID,transport_licensing,"Vehicle Registration Logbook; Active Commercial Transport Operator License; Compliant Safety Accessories (Fire extinguisher, 2 red warning triangles, emergency first aid kit); Reflective Tapes & Speed Governor (for heavy buses/trucks)",Class 4 Taxi / Light Commercial COF Inspection: $30; Class 1 & 2 Bus / Heavy Truck COF Inspection: $50,"Drive commercial vehicle to VID Depot pit lane | Present registration book and pay statutory inspection fee at cash desk | VID examiner executes mechanical audit (brakes, steering, tires, chassis, lights, wipers) | If vehicle passes audit, examiner stamps logbook and issues Certificate of Fitness (COF) disc | Affix COF disc to commercial vehicle windscreen",Same day (1-2 hours),https://www.transcom.gov.zw/,2026-07-31
SVC-022,Temporary Employment Permit (TEP / Work Permit),Immigration Department of Zimbabwe,CIVREG,civil_registration,Application Form IF1; Employer Letter of Justification (proving specialized skills not available locally); Understudy Training Plan for Zimbabwean Citizen; Applicant CV and Certified Educational Qualifications; Police Clearance Certificate from country of origin (<6 months old); Medical Clearance Certificate & Chest X-Ray; Passport Copy (valid >6 months),TEP Application Fee: $500; Annual Work Permit Fee upon Approval: $1500,"Employer submits Form IF1 and dossier to Department of Immigration Headquarters (Linquenda House, Harare) | Foreign Employment Committee evaluates justification and understudy plan | Inter-agency security vetting | Immigration Board issues approval letter | Pay annual permit fee ($1,500) and receive TEP endorsement sticker in passport",30-60 calendar days,https://www.evisa.gov.zw/,2026-07-31
SVC-023,Business Investor Residence Permit,Immigration Department of Zimbabwe,CIVREG,civil_registration,"Zimbabwe Investment and Development Agency (ZIDA) Investor License; Proof of Foreign Direct Capital Inflow (minimum $100,000 USD banked into Zimbabwe); Company Incorporation & Tax Registration Certificate; Police Clearance Certificate from origin country; Medical Certificate; Detailed Business Plan & Employment Generation Schedule",Investor Residence Permit Application Fee: $500; 5-Year Investor Residence Permit Fee: $2000,Obtain ZIDA Investor License from ZIDA One-Stop Investment Centre | Submit Investor Residence Permit application dossier to Immigration HQ | Financial audit verifies banking of foreign capital inflow | Immigration Board approves 5-year renewable Investor Residence Permit | Endorse Residence Permit sticker in passport,30-45 calendar days,https://www.evisa.gov.zw/,2026-07-31
SVC-024,Municipal Shop Licence (Business Operating Licence),Local Authority / City Council,DCIP,business_registration,Company Incorporation / PBC Registration Certificate; Valid ZIMRA Tax Clearance Certificate (ITF263); Approved Building Architectural Floor Plan; City Health Inspection Certificate; Fire Department Clearance Certificate; Proof of Newspaper Advertisement (14-day public notice window),Application & Press Notice Verification Fee: $50; Annual Municipal Shop Licence Fee: $250,"Obtain Shop Licence Application Form from Town House / Local Municipality | Publish public notice in 2 editions of local newspaper for 14-day objection period | Schedule joint site inspection with City Health, Fire, and Town Planning departments | Submit inspection clearance reports and pay annual licence fee | Receive Municipal Shop Licence disc for display on business premises",14-30 calendar days,https://www.hararecity.co.zw/,2026-07-31
SVC-025,Municipal Food Handler's Health Certificate,Local Authority Health Department,CIVREG,civil_registration,Employee Original National Identity Card; 2 Passport-sized photographs; Medical Examination & Laboratory Test Results from Municipal Health Clinic; Inspection Fee Payment Receipt,Food Handler Medical Exam & Card Fee: $15,"Food handling personnel report to Municipal Infectious Diseases Clinic | Undergo physical examination, chest X-ray, and lab screening for communicable diseases | Doctor certifies medical clearance | City Health Department issues official Food Handler's Health Card (Red Card) | Keep card available for municipal health inspector audits on premises",2-3 working days,https://www.hararecity.co.zw/,2026-07-31
